Name,Brand Names,Primary Use,Dosage Context,Precautions,Risk Indicator
Paracetamol,"Crocin;Dolo 650;Calpol;Tylenol;Panadol","Treatment of fever and mild to moderate pain (headache, toothache, body ache).","Adults: 500mg to 1000mg every 4 to 6 hours as needed. Do not exceed 4000mg (4g) in a 24-hour period.","Avoid alcohol during use. Can cause severe liver damage if taken in excessive amounts. Do not combine with other products containing paracetamol.",Low
Ibuprofen,"Advil;Motrin;Nurofen;Brufen","Relief of pain, inflammation, and fever associated with arthritis, menstrual cramps, or injuries.","Adults: 200mg to 400mg every 4 to 6 hours with food. Do not exceed 1200mg daily for self-care unless prescribed.","Take with food or milk to prevent stomach irritation. Avoid if you have a history of stomach ulcers, kidney disease, or cardiovascular problems.",Moderate
Aspirin,"Ecotrin;Disprin;Bayer Aspirin","Pain relief, fever reduction, inflammation reduction, and low-dose cardiovascular protection.","Pain/Fever: 325mg to 650mg every 4 hours. Cardiovascular protection (under doctor guidance): 75mg to 81mg once daily.","Can cause stomach bleeding. Do not give to children or teenagers recovering from viral infections due to risk of Reye's Syndrome.",Moderate
Amoxicillin,"Mox;Amoxil;Novamox","Antibiotic for bacterial infections of the ears, throat, urinary tract, and skin.","Adults: 250mg to 500mg three times daily or 500mg to 875mg twice daily, for a duration specified by a doctor.","Take for the full prescribed duration even if symptoms disappear. Do not use for viral infections like colds or flu. Check for penicillin allergies.",High
Omeprazole,"Prilosec;Omez;Losec","Reduction of stomach acid to treat gastroesophageal reflux disease (GERD) and stomach ulcers.","Adults: 20mg once daily in the morning, 30 to 60 minutes before breakfast.","Long-term use may reduce magnesium levels or increase risk of bone fractures. Avoid lying down immediately after meals.",Low
Cetirizine,"Zyrtec;Cetzine;Okacet","Antihistamine for relief of allergy symptoms such as sneezing, runny nose, itchy/watery eyes, and hives.","Adults: 5mg to 10mg once daily, preferably in the evening.","May cause mild drowsiness in some individuals. Avoid alcohol and driving or operating machinery if affected.",Low
Metformin,"Glucophage;Glycomet;Fortamet","Oral diabetes medication to help control blood sugar levels in patients with type 2 diabetes.","Adults: Usually starts at 500mg twice daily or 850mg once daily, taken with meals to minimize stomach upset.","Monitor kidney and liver functions regularly. Avoid excessive alcohol consumption to prevent lactic acidosis.",Moderate
Atorvastatin,"Lipitor;Atorva;Storvas","Cholesterol-lowering medication to reduce the risk of cardiovascular events like heart attacks or strokes.","Adults: 10mg to 80mg once daily at any time of day, with or without food.","Avoid grapefruit juice as it increases drug concentration. Report any unexplained muscle pain or weakness immediately.",Moderate
Albuterol,"Ventolin;ProAir;Asthalin","Bronchodilator for preventing and treating difficulty breathing, chest tightness, and coughing caused by asthma.","Inhalation: 1 to 2 puffs every 4 to 6 hours as needed for bronchospasm.","Can cause rapid heart rate, nervousness, or tremors. If your breathing symptoms worsen rapidly, seek emergency support.",Moderate
Lisinopril,"Zestril;Prinivil;Lipril","ACE inhibitor used to treat high blood pressure (hypertension) and heart failure, and to improve survival after a heart attack.","Adults: 10mg once daily, adjusted based on blood pressure response. Maximum dose is 40mg daily.","Do not take if pregnant (causes birth defects). Can cause a dry cough. Seek emergency help if swelling of the face, throat, or tongue occurs.",High
Loratadine,"Claritin;Alavert;Lorin","Non-drowsy antihistamine for managing hay fever, seasonal allergies, and skin rashes.","Adults: 10mg once daily.","Generally safe. Inform your doctor if you have kidney or liver disease before starting.",Low
Pantoprazole,"Protonix;Pan-40;Pantocid","Acid reducer used to treat erosive esophagitis, GERD, and conditions causing excess stomach acid.","Adults: 40mg once daily in the morning, 30 to 60 minutes before breakfast.","Inform your doctor if symptoms do not improve after 2-4 weeks. Can interfere with vitamin B12 absorption over long-term use.",Low
