Illness,Symptom,Weight,Triage Advice
Influenza (Flu),fever,1.5,"Rest and stay hydrated. Over-the-counter pain relievers can help with body aches. If fever exceeds 102°F (39°C) or you experience breathing difficulty, seek immediate medical attention."
Influenza (Flu),cough,1.0,"Rest and stay hydrated. Over-the-counter pain relievers can help with body aches. If fever exceeds 102°F (39°C) or you experience breathing difficulty, seek immediate medical attention."
Influenza (Flu),fatigue,1.2,"Rest and stay hydrated. Over-the-counter pain relievers can help with body aches. If fever exceeds 102°F (39°C) or you experience breathing difficulty, seek immediate medical attention."
Influenza (Flu),body aches,1.5,"Rest and stay hydrated. Over-the-counter pain relievers can help with body aches. If fever exceeds 102°F (39°C) or you experience breathing difficulty, seek immediate medical attention."
Influenza (Flu),headache,1.0,"Rest and stay hydrated. Over-the-counter pain relievers can help with body aches. If fever exceeds 102°F (39°C) or you experience breathing difficulty, seek immediate medical attention."
Influenza (Flu),sore throat,1.0,"Rest and stay hydrated. Over-the-counter pain relievers can help with body aches. If fever exceeds 102°F (39°C) or you experience breathing difficulty, seek immediate medical attention."
Common Cold,cough,1.0,"Keep hydrated, rest, and use saline nasal sprays or throat lozenges. Symptoms usually resolve within 7-10 days."
Common Cold,sore throat,1.2,"Keep hydrated, rest, and use saline nasal sprays or throat lozenges. Symptoms usually resolve within 7-10 days."
Common Cold,runny nose,1.5,"Keep hydrated, rest, and use saline nasal sprays or throat lozenges. Symptoms usually resolve within 7-10 days."
Common Cold,sneezing,1.5,"Keep hydrated, rest, and use saline nasal sprays or throat lozenges. Symptoms usually resolve within 7-10 days."
Common Cold,congestion,1.2,"Keep hydrated, rest, and use saline nasal sprays or throat lozenges. Symptoms usually resolve within 7-10 days."
Common Cold,fatigue,0.5,"Keep hydrated, rest, and use saline nasal sprays or throat lozenges. Symptoms usually resolve within 7-10 days."
COVID-19,fever,1.5,"Isolate immediately, monitor blood oxygen levels, and get tested. Seek urgent medical care if you experience severe shortness of breath or persistent chest pressure."
COVID-19,cough,1.2,"Isolate immediately, monitor blood oxygen levels, and get tested. Seek urgent medical care if you experience severe shortness of breath or persistent chest pressure."
COVID-19,loss of taste/smell,2.0,"Isolate immediately, monitor blood oxygen levels, and get tested. Seek urgent medical care if you experience severe shortness of breath or persistent chest pressure."
COVID-19,fatigue,1.0,"Isolate immediately, monitor blood oxygen levels, and get tested. Seek urgent medical care if you experience severe shortness of breath or persistent chest pressure."
COVID-19,shortness of breath,1.8,"Isolate immediately, monitor blood oxygen levels, and get tested. Seek urgent medical care if you experience severe shortness of breath or persistent chest pressure."
COVID-19,body aches,1.0,"Isolate immediately, monitor blood oxygen levels, and get tested. Seek urgent medical care if you experience severe shortness of breath or persistent chest pressure."
Migraine,headache,2.0,"Rest in a quiet, dark room. Apply a cold compress to your forehead. If accompanied by sudden numbness, weakness, or speech difficulty, seek emergency care immediately."
Migraine,nausea,1.2,"Rest in a quiet, dark room. Apply a cold compress to your forehead. If accompanied by sudden numbness, weakness, or speech difficulty, seek emergency care immediately."
Migraine,vomiting,1.0,"Rest in a quiet, dark room. Apply a cold compress to your forehead. If accompanied by sudden numbness, weakness, or speech difficulty, seek emergency care immediately."
Migraine,dizziness,0.8,"Rest in a quiet, dark room. Apply a cold compress to your forehead. If accompanied by sudden numbness, weakness, or speech difficulty, seek emergency care immediately."
Food Poisoning,nausea,1.5,"Stay hydrated with oral rehydration salts (ORS). Avoid solid foods for a few hours. If you are unable to keep fluids down for over 24 hours, consult a physician."
Food Poisoning,vomiting,1.8,"Stay hydrated with oral rehydration salts (ORS). Avoid solid foods for a few hours. If you are unable to keep fluids down for over 24 hours, consult a physician."
Food Poisoning,diarrhea,1.8,"Stay hydrated with oral rehydration salts (ORS). Avoid solid foods for a few hours. If you are unable to keep fluids down for over 24 hours, consult a physician."
